Unique index,Supercell,Ratio,Configuration,Multiplicity,Free Energy / kJ/mol,Enthalpy per atom / kJ/mol,Entropy per atom / kJ/mol,Volume/A^3,N atoms,Density/g/mol^3,Spacegroup,Group indices
0,1x1x1,[4 0],"(0, 0, 0, 0)",1,,,,1031.314680509039,120.0,1.3219525259353389,P2_1/c (14),[0]
1,1x1x1,[3 1],"(0, 0, 0, 1)",4,,,,1031.314680509039,120.0,1.3219525259353389,P1 (1),"[1, 2, 4, 8]"
2,1x1x1,[2 2],"(0, 0, 1, 1)",2,,,,1031.314680509039,120.0,1.3219525259353389,P2_1 (4),"[3, 12]"
3,1x1x1,[2 2],"(0, 1, 0, 1)",2,,,,1031.314680509039,120.0,1.3219525259353389,P-1 (2),"[5, 10]"
4,1x1x1,[2 2],"(0, 1, 1, 0)",2,,,,1031.314680509039,120.0,1.3219525259353389,Pc (7),"[6, 9]"
5,1x1x1,[1 3],"(0, 1, 1, 1)",4,,,,1031.314680509039,120.0,1.3219525259353389,P1 (1),"[7, 11, 13, 14]"
6,1x1x1,[0 4],"(1, 1, 1, 1)",1,,,,1031.314680509039,120.0,1.3219525259353389,P2_1/c (14),[15]
