Unique index,Multiplicity,Free Energy / kJ/mol,Enthalpy per atom / kJ/mol,Entropy per atom / kJ/mol,Volume/A^3,N atoms,Density/g/mol^3,Spacegroup,Group indices
0,2,,,,2.6541751062921485e+03,288.0,1.5377303803202587,P-1 (2),"[0, 15]"
1,8,,,,2654.1751062921485,288.0,1.5377303803202587,P1 (1),"[1, 2, 4, 7, 8, 11, 13, 14]"
2,2,,,,2654.1751062921485,288.0,1.5377303803202587,Cc (9),"[3, 12]"
3,2,,,,2654.1751062921485,288.0,1.5377303803202587,P2_1/c (14),"[5, 10]"
4,2,,,,2654.1751062921485,288.0,1.5377303803202587,P2_1/c (14),"[6, 9]"
